Div,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
D1,2017-02-19,FC Koln,Schalke 04,1719.7,1735.65,6.0,8.0,4.0,7.0,1.0,1.0,D,1.0,1.0,D,9.0,12.0,4.0,4.0,12.0,14.0,5.0,0.0,2.0,3.0,0.0,0.0,2.5,3.1,3.1
D1,2017-02-19,MGladbach,RB Leipzig,1733.41,1686.53,9.0,10.0,3.0,6.0,1.0,2.0,A,0.0,1.0,A,12.0,9.0,3.0,5.0,18.0,17.0,8.0,3.0,4.0,3.0,0.0,0.0,2.6,3.2,2.8
D1,2017-02-24,Wolfsburg,Werder Bremen,1691.52,1623.35,3.0,6.0,3.0,3.0,1.0,2.0,A,1.0,2.0,A,27.0,7.0,6.0,3.0,13.0,15.0,13.0,1.0,1.0,3.0,0.0,0.0,1.91,3.5,4.2
D1,2017-02-25,Bayern Munich,Hamburg,2004.51,1632.25,5.0,11.0,7.0,7.0,8.0,0.0,H,3.0,0.0,H,18.0,5.0,12.0,1.0,16.0,11.0,4.0,4.0,0.0,1.0,0.0,0.0,1.14,8.5,19.0
D1,2017-02-25,Darmstadt,Augsburg,1540.23,1661.22,3.0,4.0,3.0,6.0,1.0,2.0,A,0.0,0.0,D,5.0,18.0,2.0,3.0,17.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,2.8,3.25,2.6
D1,2017-02-25,Freiburg,Dortmund,1663.56,1856.19,4.0,7.0,6.0,10.0,0.0,3.0,A,0.0,1.0,A,7.0,27.0,3.0,10.0,8.0,10.0,5.0,3.0,1.0,0.0,0.0,0.0,5.75,4.2,1.57
D1,2017-02-25,Hertha,Ein Frankfurt,1687.54,1705.35,4.0,4.0,3.0,6.0,2.0,0.0,H,0.0,0.0,D,6.0,8.0,4.0,2.0,11.0,16.0,3.0,6.0,2.0,2.0,0.0,1.0,2.05,3.2,4.0
D1,2017-02-25,Leverkusen,Mainz,1775.49,1677.27,6.0,9.0,3.0,5.0,0.0,2.0,A,0.0,2.0,A,12.0,11.0,3.0,5.0,20.0,17.0,9.0,8.0,1.0,3.0,0.0,0.0,1.73,3.8,4.75
D1,2017-02-25,RB Leipzig,FC Koln,1686.53,1719.7,3.0,9.0,4.0,8.0,3.0,1.0,H,2.0,0.0,H,13.0,5.0,5.0,1.0,15.0,10.0,3.0,0.0,1.0,4.0,0.0,0.0,1.67,3.75,5.5
D1,2017-02-26,Ingolstadt,MGladbach,1584.9,1733.41,3.0,6.0,6.0,10.0,0.0,2.0,A,0.0,0.0,D,14.0,10.0,3.0,4.0,11.0,14.0,6.0,4.0,2.0,0.0,0.0,0.0,2.7,3.1,2.8
D1,2017-02-26,Schalke 04,Hoffenheim,1735.65,1727.37,5.0,8.0,6.0,9.0,1.0,1.0,D,1.0,0.0,H,7.0,14.0,2.0,4.0,20.0,13.0,6.0,3.0,0.0,2.0,0.0,0.0,2.05,3.4,3.8
D1,2017-03-03,Augsburg,RB Leipzig,1663.79,1712.89,3.0,9.0,6.0,9.0,2.0,2.0,D,1.0,1.0,D,7.0,12.0,2.0,5.0,15.0,15.0,1.0,6.0,4.0,2.0,0.0,0.0,4.2,3.5,1.91
D1,2017-03-04,Dortmund,Leverkusen,1874.71,1764.97,6.0,10.0,6.0,6.0,6.0,2.0,H,2.0,0.0,H,20.0,12.0,12.0,3.0,8.0,20.0,7.0,3.0,0.0,6.0,0.0,0.0,1.5,4.33,6.5
D1,2017-03-04,FC Koln,Bayern Munich,1713.99,2015.06,1.0,7.0,7.0,11.0,0.0,3.0,A,0.0,1.0,A,6.0,20.0,2.0,8.0,11.0,9.0,2.0,9.0,0.0,2.0,0.0,0.0,8.5,4.75,1.4
D1,2017-03-04,Hoffenheim,Ingolstadt,1738.67,1599.32,4.0,7.0,3.0,6.0,5.0,2.0,H,1.0,1.0,D,17.0,8.0,12.0,4.0,19.0,21.0,3.0,6.0,2.0,2.0,0.0,0.0,1.75,3.75,4.75
D1,2017-03-04,Mainz,Wolfsburg,1684.81,1680.94,6.0,7.0,3.0,3.0,1.0,1.0,D,1.0,1.0,D,10.0,7.0,2.0,5.0,15.0,12.0,4.0,6.0,0.0,0.0,0.0,0.0,2.25,3.4,3.2
D1,2017-03-04,MGladbach,Schalke 04,1746.96,1746.18,6.0,12.0,5.0,6.0,4.0,2.0,H,1.0,1.0,D,19.0,7.0,7.0,2.0,6.0,16.0,3.0,2.0,0.0,4.0,0.0,0.0,2.3,3.3,3.2
D1,2017-03-04,Werder Bremen,Darmstadt,1655.32,1535.14,6.0,6.0,3.0,3.0,2.0,0.0,H,0.0,0.0,D,9.0,15.0,4.0,3.0,10.0,17.0,2.0,7.0,1.0,1.0,0.0,0.0,1.67,4.0,5.0
D1,2017-03-05,Ein Frankfurt,Freiburg,1683.85,1662.04,0.0,6.0,4.0,7.0,1.0,2.0,A,1.0,1.0,D,15.0,10.0,3.0,3.0,13.0,14.0,12.0,1.0,2.0,1.0,0.0,0.0,2.1,3.5,3.5
D1,2017-03-05,Hamburg,Hertha,1634.04,1708.33,4.0,7.0,4.0,7.0,1.0,0.0,H,0.0,0.0,D,9.0,8.0,3.0,1.0,14.0,11.0,5.0,2.0,1.0,2.0,0.0,0.0,2.45,3.2,3.0
D1,2017-03-10,Leverkusen,Werder Bremen,1764.97,1655.32,3.0,6.0,9.0,9.0,1.0,1.0,D,1.0,0.0,H,12.0,11.0,7.0,3.0,12.0,12.0,4.0,3.0,0.0,2.0,1.0,0.0,1.5,4.33,6.5
D1,2017-03-11,Bayern Munich,Ein Frankfurt,2015.06,1683.85,7.0,11.0,0.0,3.0,3.0,0.0,H,2.0,0.0,H,16.0,10.0,7.0,4.0,11.0,8.0,3.0,2.0,2.0,3.0,0.0,0.0,1.13,9.0,21.0
D1,2017-03-11,Darmstadt,Mainz,1535.14,1684.81,0.0,3.0,4.0,7.0,2.0,1.0,H,2.0,1.0,H,11.0,13.0,5.0,6.0,16.0,17.0,5.0,11.0,3.0,2.0,1.0,1.0,3.5,3.25,2.2
D1,2017-03-11,Freiburg,Hoffenheim,1662.04,1738.67,4.0,7.0,7.0,10.0,1.0,1.0,D,0.0,0.0,D,6.0,23.0,4.0,7.0,12.0,11.0,6.0,6.0,2.0,2.0,0.0,0.0,3.0,3.4,2.38
D1,2017-03-11,Hertha,Dortmund,1708.33,1874.71,4.0,7.0,9.0,12.0,2.0,1.0,H,1.0,0.0,H,16.0,18.0,4.0,2.0,7.0,15.0,4.0,8.0,2.0,4.0,0.0,0.0,5.25,4.0,1.65
D1,2017-03-11,Ingolstadt,FC Koln,1599.32,1713.99,3.0,3.0,1.0,4.0,2.0,2.0,D,1.0,1.0,D,26.0,7.0,9.0,2.0,13.0,24.0,11.0,0.0,4.0,3.0,0.0,0.0,2.5,3.1,3.1
D1,2017-03-11,RB Leipzig,Wolfsburg,1712.89,1680.94,7.0,7.0,1.0,4.0,0.0,1.0,A,0.0,1.0,A,11.0,15.0,6.0,5.0,16.0,17.0,7.0,3.0,3.0,4.0,0.0,0.0,1.62,3.8,6.0
D1,2017-03-12,Hamburg,MGladbach,1634.04,1746.96,4.0,10.0,6.0,12.0,2.0,1.0,H,1.0,1.0,D,17.0,7.0,6.0,3.0,8.0,18.0,8.0,4.0,1.0,2.0,0.0,0.0,2.75,3.3,2.6
D1,2017-03-12,Schalke 04,Augsburg,1746.18,1663.79,2.0,6.0,4.0,7.0,3.0,0.0,H,3.0,0.0,H,25.0,9.0,7.0,3.0,20.0,10.0,7.0,4.0,3.0,0.0,0.0,0.0,1.75,3.5,5.25
D1,2017-03-17,Dortmund,Ingolstadt,1897.93,1602.14,6.0,9.0,1.0,4.0,1.0,0.0,H,1.0,0.0,H,10.0,14.0,2.0,2.0,12.0,23.0,4.0,2.0,1.0,3.0,0.0,0.0,1.3,5.5,10.5
D1,2017-03-18,Augsburg,Freiburg,1662.38,1680.02,4.0,4.0,4.0,8.0,1.0,1.0,D,1.0,1.0,D,15.0,7.0,3.0,3.0,16.0,21.0,3.0,1.0,2.0,2.0,0.0,0.0,2.4,3.3,3.0
D1,2017-03-18,Ein Frankfurt,Hamburg,1679.14,1659.33,0.0,0.0,6.0,10.0,0.0,0.0,D,0.0,0.0,D,7.0,5.0,1.0,0.0,19.0,24.0,4.0,7.0,1.0,1.0,0.0,0.0,2.2,3.2,3.5
D1,2017-03-18,FC Koln,Hertha,1714.92,1718.99,1.0,2.0,6.0,7.0,4.0,2.0,H,3.0,0.0,H,7.0,8.0,6.0,6.0,12.0,12.0,2.0,9.0,2.0,3.0,0.0,0.0,2.38,3.2,3.2
D1,2017-03-18,Hoffenheim,Leverkusen,1751.98,1760.19,5.0,8.0,1.0,7.0,1.0,0.0,H,0.0,0.0,D,13.0,16.0,4.0,7.0,12.0,14.0,2.0,7.0,1.0,1.0,0.0,0.0,2.15,3.6,3.3
D1,2017-03-18,Werder Bremen,RB Leipzig,1672.47,1710.14,7.0,10.0,4.0,7.0,3.0,0.0,H,1.0,0.0,H,9.0,7.0,4.0,2.0,11.0,18.0,4.0,5.0,2.0,1.0,0.0,0.0,3.5,3.6,2.05
D1,2017-03-18,Wolfsburg,Darmstadt,1700.8,1547.49,4.0,7.0,3.0,6.0,1.0,0.0,H,1.0,0.0,H,18.0,6.0,4.0,1.0,15.0,14.0,6.0,4.0,2.0,3.0,0.0,0.0,1.5,4.0,7.5
D1,2017-03-19,Mainz,Schalke 04,1680.11,1749.85,4.0,7.0,4.0,8.0,0.0,1.0,A,0.0,0.0,D,18.0,9.0,5.0,5.0,10.0,15.0,10.0,4.0,2.0,4.0,0.0,0.0,2.63,3.5,2.63
D1,2017-03-19,MGladbach,Bayern Munich,1757.27,2032.52,6.0,9.0,9.0,13.0,0.0,1.0,A,0.0,0.0,D,14.0,18.0,1.0,6.0,5.0,11.0,5.0,4.0,0.0,2.0,0.0,0.0,8.0,4.75,1.4
D1,2017-03-31,Hertha,Hoffenheim,1718.99,1751.98,3.0,7.0,7.0,11.0,1.0,3.0,A,1.0,1.0,D,5.0,28.0,3.0,8.0,18.0,13.0,0.0,8.0,2.0,1.0,1.0,0.0,2.9,3.1,2.6
D1,2017-04-01,Bayern Munich,Augsburg,2036.07,1661.43,9.0,13.0,2.0,5.0,6.0,0.0,H,2.0,0.0,H,21.0,6.0,8.0,2.0,6.0,9.0,5.0,1.0,0.0,2.0,0.0,0.0,1.1,10.0,26.0
D1,2017-04-01,Ein Frankfurt,MGladbach,1677.15,1743.45,1.0,1.0,3.0,6.0,0.0,0.0,D,0.0,0.0,D,15.0,6.0,4.0,1.0,13.0,12.0,10.0,1.0,4.0,2.0,0.0,1.0,2.5,3.3,2.9
D1,2017-04-01,Freiburg,Werder Bremen,1681.82,1685.23,5.0,6.0,7.0,13.0,2.0,5.0,A,0.0,2.0,A,13.0,11.0,4.0,7.0,9.0,14.0,5.0,5.0,2.0,1.0,0.0,0.0,2.25,3.5,3.2
D1,2017-04-01,Hamburg,FC Koln,1662.17,1724.76,7.0,8.0,4.0,5.0,2.0,1.0,H,1.0,1.0,D,14.0,7.0,4.0,1.0,19.0,13.0,5.0,1.0,2.0,3.0,0.0,0.0,2.38,3.2,3.2
D1,2017-04-01,RB Leipzig,Darmstadt,1698.23,1544.71,1.0,7.0,3.0,3.0,4.0,0.0,H,1.0,0.0,H,25.0,11.0,10.0,1.0,12.0,15.0,10.0,4.0,1.0,2.0,0.0,1.0,1.36,5.0,9.0
D1,2017-04-01,Schalke 04,Dortmund,1769.06,1899.84,6.0,8.0,6.0,12.0,1.0,1.0,D,0.0,0.0,D,9.0,7.0,3.0,2.0,13.0,17.0,9.0,4.0,1.0,2.0,0.0,0.0,3.75,3.6,2.0
